hlabel,label_mid,labeltext,label
sport,judo,sport_judo,132
politics,interior policy,politics_interior policy,77
"crime, law and justice",trials,"crime, law and justice_trials",21
sport,curling,sport_curling,118
sport,rowing,sport_rowing,143
human interest,society,human interest_society,64
labour,wage and pension,labour_wage and pension,67
sport,luge,sport_luge,134
"arts, culture and entertainment",monument and heritage site,"arts, culture and entertainment_monument and heritage site",7
"economy, business and finance",agriculture,"economy, business and finance_agriculture",27
science and technology,natural science,science and technology_natural science,95
"economy, business and finance",market and exchange,"economy, business and finance_market and exchange",40
science and technology,human science,science and technology_human science,94
sport,water skiing,sport_water skiing,157
sport,triathlon,sport_triathlon,155
labour,collective contract,labour_collective contract,65
"economy, business and finance",manufacturing and engineering,"economy, business and finance_manufacturing and engineering",39
religion and belief,christianity,religion and belief_christianity,84
sport,alpine skiing,sport_alpine skiing,106
sport,biathlon,sport_biathlon,112
weather,report,weather_report,166
"arts, culture and entertainment",mass media,"arts, culture and entertainment_mass media",6
sport,power boating,sport_power boating,141
religion and belief,religious leader,religion and belief_religious leader,89
disaster and accident,emergency incident,disaster and accident_emergency incident,23
sport,gymnastics,sport_gymnastics,128
"arts, culture and entertainment",fashion,"arts, culture and entertainment_fashion",4
"unrest, conflicts and war",guerrilla activity,"unrest, conflicts and war_guerrilla activity",163
"unrest, conflicts and war",war,"unrest, conflicts and war_war",165
"economy, business and finance",construction and property,"economy, business and finance_construction and property",32
"crime, law and justice",punishment,"crime, law and justice_punishment",20
education,religious education,education_religious education,46
sport,aero and aviation sport,sport_aero and aviation sport,105
sport,windsurfing,sport_windsurfing,159
science and technology,research,science and technology_research,96
"crime, law and justice",police,"crime, law and justice_police",18
lifestyle and leisure,travel and commuting,lifestyle and leisure_travel and commuting,71
religion and belief,religious text,religion and belief_religious text,90
sport,Jai Alai (Pelota),sport_Jai Alai (Pelota),131
health,illness,health_illness,57
politics,parliament,politics_parliament,78
social issue,missing person,social issue_missing person,102
religion and belief,church (organisation)-DEPRECATED,religion and belief_church (organisation)-DEPRECATED,85
sport,rugby union,sport_rugby union,144
environmental issue,nature,environmental issue_nature,52
religion and belief,values,religion and belief_values,91
sport,"horse racing, harness racing","sport_horse racing, harness racing",129
politics,diplomacy,politics_diplomacy,73
sport,motor rallying,sport_motor rallying,137
"arts, culture and entertainment",literature,"arts, culture and entertainment_literature",5
environmental issue,conservation,environmental issue_conservation,49
sport,flying disc,sport_flying disc,126
sport,motor racing,sport_motor racing,136
social issue,euthanasia (also includes assisted suicide),social issue_euthanasia (also includes assisted suicide),99
"arts, culture and entertainment",culture (general),"arts, culture and entertainment_culture (general)",2
"economy, business and finance",economy (general),"economy, business and finance_economy (general)",34
"arts, culture and entertainment",theatre,"arts, culture and entertainment_theatre",11
politics,parties and movements,politics_parties and movements,79
sport,weightlifting,sport_weightlifting,158
religion and belief,religious event,religion and belief_religious event,87
"arts, culture and entertainment",sculpture,"arts, culture and entertainment_sculpture",9
"economy, business and finance",consumer goods,"economy, business and finance_consumer goods",33
"unrest, conflicts and war",massacre,"unrest, conflicts and war_massacre",164
religion and belief,religious festival or holiday,religion and belief_religious festival or holiday,88
sport,cycling,sport_cycling,119
sport,dog racing,sport_dog racing,121
sport,tennis,sport_tennis,154
sport,rodeo,sport_rodeo,142
education,school,education_school,47
sport,fencing,sport_fencing,123
politics,politics (general),politics_politics (general),80
sport,"billiards, snooker and pool","sport_billiards, snooker and pool",113
"arts, culture and entertainment",television,"arts, culture and entertainment_television",10
health,preventative medicine,health_preventative medicine,61
health,healthcare policy,health_healthcare policy,56
sport,volleyball,sport_volleyball,156
human interest,people,human interest_people,63
