code,hierarchy,name,description
subj:01000000,1,"arts, culture and entertainment","Matters pertaining to the advancement and refinement of the human mind, of interests, skills, tastes and emotions "
subj:01001000,2,archaeology,Probing the past through ruins and artefacts 
subj:01002000,2,architecture,"Designing of buildings, monuments and the spaces around them "
subj:01003000,2,bullfighting,Classical contest pitting man against the bull 
subj:01004000,2,festive event (including carnival),"Parades, parties, celebrations and the like not necessarily tied to a fixed occasion or date "
subj:01005000,2,cinema,Cinema as art and entertainment 
subj:01005001,3,film festival,"National and international motion pictures festivals, selections, festival juries, nominations, awards etc. "
subj:01006000,2,dance,The expression of emotion or message through movement 
subj:01007000,2,fashion,The design of clothing and accessories 
subj:01007001,3,jewelry,Accessories to clothing 
subj:01008000,2,language,The means by which people communicate with each other 
subj:01009000,2,library and museum,"Edifices used to house collections of books, music, art, or objects from the past and present for public use and display "
subj:01010000,2,literature,"The use of pamphlets, books or other printed matter to convey ideas, stories or other messages for the public "
subj:01010001,3,fiction,Structured stories that are usually not based on fact but are the creation of the authors imagination 
subj:01010002,3,poetry,"The art, structure, forms of poetic expression "
subj:01011000,2,music,"Expressing emotion or message through instruments or voice using different sounds, tones, harmonies and the like "
subj:01011001,3,classical music,Music that follows classic structures of rhythm and harmony 
subj:01011002,3,folk music,"Music that developed from folk cultures, often based on story-telling "
subj:01011003,3,jazz music,"A music of diverse harmonics, often improvised "
subj:01011004,3,popular music,"The latest fad in music, generally aimed at the younger generation "
subj:01011005,3,country music,Similar to folk but is unique to the United States and is less about story telling than about loves sought and lost 
subj:01011006,3,rock and roll music,Popular dance music developed in the 1950s 
subj:01011007,3,hip-hop,A contemporary urban music originating in the 1970s. 
subj:01012000,2,painting,"Using the mediums of oils, watercolour, pastel, pencils, chalk, crayon etc on various grounds to express emotion or message "
subj:01013000,2,photography,Mechanical means of creating images of objects by use of light and light sensitive materials with chemicals or by digitals means 
subj:01014000,2,radio,Radio as art and entertainment 
subj:01015000,2,sculpture,"Representation of forms in clays, stone, woods, metals or other materials "
subj:01015001,3,plastic art,Forms of hand created art including installations 
subj:01016000,2,television,Television as art and entertainment 
subj:01016001,3,soap opera,"Episodic TV drama or saga, normally aired during daytime "
subj:01017000,2,theatre,"Telling of a story or idea through dialogue, music and physical expression in a space or building designed for it "
subj:01017001,3,music theatre,"Opera, operetta, music revues etc "
subj:01018000,2,monument and heritage site,Areas containing commemorative objects for historical people or events 
subj:01019000,2,customs and tradition,"A particular way of behaving, or observances that have developed over time by a group of people "
subj:01020000,2,arts (general),"The collective expression of message or emotion through music, literature, painting, theatre or other means "
subj:01021000,2,entertainment (general),"The collective use of television, radio, theatre, music and the like for the amusement of people "
subj:01021001,3,entertainment award,"Awards for achievement in the entertainment industry, such as the Oscars for film, the Booker Prize for Literature, the Grammys for music, or induction into halls of fame. "
subj:01022000,2,culture (general),"The ideas, customs, arts, skills of a particular group "
subj:01022001,3,cultural development,"The history of the development of art and culture such as the rise of cave paintings, pre-Colombian art, Chinese paper-making, anything non-political "
subj:01023000,2,nightclub,"A commercial establishment providing music, or other entertainment along with food and drink to selected clientele "
subj:01024000,2,cartoon,Still images such as editorial cartoons and comic strips 
subj:01025000,2,animation,"Animation, including full-length and short cinema, artists and merchandising of goods featuring animation characters. "
subj:01026000,2,mass media,"Television, radio, magazines, newspapers etc "
subj:01026001,3,periodicals,"Written material that is usually published weekly, bi-weekly, monthly or annually for a long time "
subj:01026002,3,news media,"Television, wire services, radio that collect facts about incidents, developing and presenting them to audiences as a whole story "
subj:01026003,3,newspapers,"Daily or weekly publications that present the day to day history of the world, as well as features, comics etc "
subj:01026004,3,reviews,"A critical look at someone else's work, whether film, theatre or writing "
subj:01027000,2,internet,Internet as art and entertainment 
subj:01028000,2,history,"Issues connected with the past; discoveries, repair, conservation or display of artifacts; anniversaries of historic events "
subj:02000000,1,"crime, law and justice","Establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules and the punishment of offenders. Organizations and bodies involved in these activities. "
subj:02001000,2,crime,"Violation of established laws by individuals, companies or organizations "
subj:02001001,3,homicide,Killing of one person by another 
subj:02001002,3,computer crime,Theft or destructive behaviour using a computer 
subj:02001003,3,theft,Unlawful taking 
subj:02001004,3,drug trafficking,Dealing in illicit often harmful substances 
subj:02001005,3,sexual assault,Sexual battery of one sex against another 
subj:02001006,3,assault (general),"Battery, slugfests, brawls and threatening behaviour "
subj:02001007,3,kidnapping,"To seize and detain or carry away a person against that person's will by unlawful threat, force or fraud "
subj:02001008,3,arson,Intentional setting of fires with criminal intent 
subj:02001009,3,gang activity,"Criminal activities by groups of individuals, usually in urban areas, who are allied by common territories, languages, ethnic backgrounds but generally are loosely organized. "
subj:02001010,3,terrorism,Violence against people to create fear in order to achieve political or ideological objectives 
subj:02002000,2,judiciary (system of justice),The system set up to deal with crime and those who do them 
subj:02002001,3,lawyer,"Anyone legally able to represent another person or entity in a legal matter, such as a lawyer, solicitor, barrister, procurator, notary. "
subj:02002002,3,judge,Members of the bench that sit in judgement 
subj:02002003,3,court administration,"Court clerks, bailiffs, stenographers etc. "
subj:02003000,2,police,Agents of the legal system set up enforce the laws 
subj:02003001,3,law enforcement,"Agencies involved in attempts to prevent disobedience to established laws, or to bring to justice those that disobey those laws "
subj:02003002,3,investigation,Process of inquiry of a possible crime up to the point of arrest 
subj:02003003,3,arrest,Detention of a suspect of a crime 
subj:02004000,2,punishment,The retribution handed out to those who break the laws 
subj:02004001,3,fine,Monetary punishment 
subj:02004002,3,execution,"The carrying out of executions by a government or state, not by extralegal groups/organisations "
subj:02005000,2,prison,"Also know as jails, lockups, calaboose, etc. for keeping law breakers from society "
subj:02006000,2,laws,The codification of rules of behaviour 
subj:02006001,3,criminal,The criminal code system 
subj:02006002,3,civil,The civil code system 
subj:02007000,2,justice and rights,The equitable administration of laws and regulations 
subj:02007001,3,civil rights,Rights of individuals under civil law 
subj:02008000,2,trials,"The process by which guilt or innocence, or right or wrong is determined and adjudged "
subj:02008001,3,litigation,Taking disputed issues to court for settlement by judge and/or jury 
subj:02008002,3,arbitration,Resolution of disputed issues by a neutral panel 
subj:02008003,3,court preliminary,"Pre-trial events including pleas, bail, motions, discovery, depositions. "
subj:02009000,2,prosecution,Stories regarding activities and investigations by public prosecutors. 
subj:02009001,3,defendant,The person on trial 
subj:02009002,3,witness,A person who testifies 
subj:02010000,2,organized crime,Crimes committed by gangs or criminal groups. 
subj:02011000,2,international law,"The system of laws embraced by all nations, such as the Geneva Convention, the International Law of the Seas, etc. "
subj:02011001,3,international court or tribunal,"The activities of international tribunals such as European court for human rights, Hague tribunal, International Court of Justice etc "
subj:02011002,3,extradition,Legal transfer of criminals or suspects between countries 
subj:02012000,2,corporate crime,Misdeeds of corporations and corporate officers 
subj:02012001,3,fraud,Intentional deception that causes others to give up rights or property 
subj:02012002,3,embezzlement,The intentional theft of money left in one's care 
subj:02012003,3,restraint of trade,Interference in free competition in business and trade 
subj:02012004,3,breach of contract,"Rupture of legal agreements between companies, and with customers "
subj:02012005,3,anti-trust crime,Violations of laws against monopolies 
subj:02012006,3,corruption,General business misbehaviour 
subj:02012007,3,bribery,Payments or benefits to influence the outcome of a legal case 
subj:02013000,2,war crime,"Crimes committed during a war or armed conflict, usually against civilians or POW's, including the prosecution of such crimes "
subj:02014000,2,inquest,Formal investigation of sudden or unexpected death and the hearing to decide cause of death. 
subj:02015000,2,inquiry,"Formal hearing involving a disaster, political event etc. Eg rail crash, drug prescription scandal. "
subj:02016000,2,tribunal,"Formal hearing usually involving employment issues, property etc. "
subj:03000000,1,disaster and accident,Man made and natural events resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property. 
subj:03001000,2,drought,A severe lack of water over a period of time 
subj:03002000,2,earthquake,"The shifting of the tectonic plates of the Earth, creating in some cases damage to structures "
subj:03003000,2,famine,Severe lack of food for a large population 
subj:03004000,2,fire,Ignition and consumption of materials through a combination of high heat and oxygen 
subj:03005000,2,flood,"Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted "
subj:03006000,2,industrial accident,"A mishap in a factory, a shop or an office, potentially harmful to humans "
subj:03006001,3,structural failures,"When a building, bridge or other structures collapse because of unexpected forces or poor design "
subj:03007000,2,meteorological disaster,A weather-related disaster 
subj:03007001,3,windstorms,A storm of high velocity but non-hurricane force movements of air with little or no rain or hail. Often highly destructive 
subj:03008000,2,nuclear accident,A mishap involving radioactive materials 
subj:03009000,2,pollution,Emissions of unwanted materials in areas where it can be harmful 
subj:03010000,2,transport accident,An accident involving one or more vehicles 
subj:03010001,3,road accident,Accidents on roads. 
subj:03010002,3,railway accident,Accidents involving trains. 
subj:03010003,3,air and space accident,Accidents involving craft in air or space. 
subj:03010004,3,maritime accident,Accidents involving marine vessels. 
subj:03011000,2,volcanic eruption,A rupture in the skin of the Earth allowing molten material to escape to the surface 
subj:03012000,2,relief and aid organisation,"Organizations set up to provide help to those in need because of lack of food, water or shelter "
subj:03013000,2,accident (general),Any unplanned event that causes unwanted consequences 
subj:03014000,2,emergency incident,"A sudden, unexpected event that requires immediate action "
subj:03014001,3,explosion,"Sudden eruptions, usually of chemical substances "
subj:03015000,2,disaster (general),Serious or sudden misfortune 
subj:03015001,3,natural disasters,"Destructive incidents caused by the very nature of nature -- hurricanes, earthquakes, floods etc "
subj:03015002,3,avalanche/landslide,Sudden dislodging of massive amounts of snow or soil. 
subj:03016000,2,emergency planning,"Planning for actions to deal with sudden, unplanned events "
subj:03017000,2,rescue,"An operation to save people, animals or property from harm or danger. "
subj:04000000,1,"economy, business and finance","All matters concerning the planning, production and exchange of wealth. "
subj:04001000,2,agriculture,The process of producing natural materials for consumption 
subj:04001001,3,arable farming,Production of food in the ground 
subj:04001002,3,fishing industry,Raising or gathering of fish 
subj:04001003,3,forestry and timber,Production and collection and preparation of wood products for future use 
subj:04001004,3,livestock farming,Raising of animals for food 
subj:04001005,3,viniculture,Production of wines from the vines to the finish products 
subj:04001006,3,aquaculture,Growing plants or animals in water for human consumption 
subj:04002000,2,chemicals,Natural or manmade materials used to produce other materials 
subj:04002001,3,biotechnology,The business of using engineering technology to study and solved problems of living organisms 
subj:04002002,3,fertiliser,Natural or manmade materials used to encourage the growth of plants 
subj:04002003,3,health and beauty product,Compilation of chemicals and other substances for use in enhancing ones looks or smell 
subj:04002004,3,inorganic chemical,The branch of chemistry dealing with minerals and metals 
subj:04002005,3,organic chemical,"The branch of chemistry dealing with human, animal or carbon-based substances "
subj:04002006,3,pharmaceutical,The production of medicines from various chemicals and natural substances 
subj:04002007,3,synthetic and plastic,Chemicals used to produce plastics and other artificial substances to be used in manufacturing 
subj:04003000,2,computing and information technology,Anything to do with the computing and/or transmission of information from one point to another. 
subj:04003001,3,hardware,"The physical devices used to provide computer services, such as monitors, hard drives, keyboards etc. but can also be used for equipment such as routers, servers and other network devices. "
subj:04003002,3,networking,The interconnectivity between hardware that provides the medium for the transmission of data. 
subj:04003003,3,satellite technology,Hardware and software that enables groundbased devices to send signals to each other via an orbiting satellite. 
subj:04003004,3,semiconductors and active components,The basic components that together create working electronic devices such as computers 
subj:04003005,3,software,"Programming sets that, when installed on hardware, perform specified functions. "
subj:04003006,3,telecommunication equipment,"Devices such as telephone sets, voice/data switches, modems etc that facilitate point-to-point voice/data transmissions "
subj:04003007,3,telecommunication service,"Services provided by commercial companies that facilitate connections between telephones, pagers, computers "
subj:04003008,3,security,"To encompass technical developments in hardware and software, basic research and related areas such as cyber security "
subj:04003009,3,wireless technology,Transmission of information through means other than point-to-point wired hookups 
subj:04004000,2,construction and property,All items pertaining to the construction and sale of property 
subj:04004001,3,heavy construction,"Large scale construction projects, construction of roads, dams, office/factory buildings, offshore and onshore structures, large sport stadiums "
subj:04004002,3,house building,"Construction of residences, for private use "
subj:04004003,3,real estate,The buying and selling of properties of all types 
subj:04004004,3,farms,"Agricultural areas for the production of foodstuffs, including dairy products, fruits and livestock, such as cattle and fish "
subj:04004005,3,land price,"The price of land in specific zoned areas such as commercial, residential arable as provided by a responsible body "
subj:04004006,3,renovation,"Restoring properties/structures to a former better state by cleaning, repairing or rebuilding. "
subj:04004007,3,design and engineering,"Design and planning by Engineers, Architects etc. of roads, offices, factories, dams , offshore structures, "
subj:04005000,2,energy and resource,"Production of electrical power, and the water, air, sunlight, and fuels used to produce them "
subj:04005001,3,alternative energy,Alternative energy business 
subj:04005002,3,coal,Production and mining of anthracite and bituminous products for use in power production 
subj:04005003,3,oil and gas - downstream activities,"All matters concerning oil and gas, typically refining and distribution activities "
subj:04005004,3,oil and gas - upstream activities,"All matters concerning oil and gas, typically supply chain activities from the reservoir to the refinery gate "
subj:04005005,3,nuclear power,Use of radioactive materials for power production 
subj:04005006,3,electricity production and distribution,"Primarily concerning the power line distribution system, but also the sale of electrical power at wholesale and retail levels "
subj:04005007,3,waste management and pollution control,The business of waste management and pollution control 
subj:04005008,3,water supply,The business of providing water for human use 
subj:04005009,3,natural resources (general),"The general use of natural resources for business purposes, not focused on specific resources such as coal, oil, gas or water "
subj:04005010,3,energy (general),"Energy industry, not focused on any specific sector "
subj:04005011,3,natural gas,"A natural resource, mainly methane in an flammable gaseous state, from the ground "
subj:04005012,3,petrol,"Distilled petroleum product used for automotive fuel, with or without additives "
subj:04005013,3,diesel fuel,"A distilled petroleum product heavier than gasoline used not only for trucks, marine engines, but in certain forms for home heating "
subj:04005014,3,kerosene/paraffin,"A light petroleum distillate used for cooking fuel, aircraft jet engines, lamps, heating and cleaning "
subj:04006000,2,financial and business service,"Services that transmit, safeguard, keep track of money or provide backup to commercial enterprises "
subj:04006001,3,accountancy and auditing,"Services provide balance sheet, budgets reconciliation and examine accuracy of financial statements "
subj:04006002,3,banking,"Services for storing, transmitting, receiving and delivery of cash moneys "
subj:04006003,3,consultancy service,"Providers of expert knowledge in a wide range of fields usually on a temporary, contract basis "
subj:04006004,3,employment agency,"A service helping people find jobs, and companies to find workers "
subj:04006005,3,healthcare provider,"Providers of medical services at all levels, including doctors, hospitals etc "
subj:04006006,3,insurance,A risk taking venture that allows individuals to pay small amounts periodically to guard financially against unexpected events 
subj:04006007,3,legal service,"Lawyers and others who help companies and individuals deal with state, federal and local laws "
subj:04006008,3,market research,A service that tries to determine what people want to buy 
subj:04006009,3,stock broking,The buying and selling of company shares on behalf of individuals or other entities 
subj:04006010,3,personal investing,Personal finance and investment 
subj:04006011,3,market trend,Statistically significant consumer behaviour. 
subj:04006012,3,shipping service,"Companies that prepare and transport packages and documents for individuals or companies by any means, including postal services. "
subj:04006013,3,personal service,Consumer service that is intangible e.g. beauty care as in hairdressing 
subj:04006014,3,janitorial service,Companies that provide cleaning and similar services for homes and businesses. 
subj:04006015,3,funeral parlour and crematorium,Companies that provide services for disposal of the dead 
subj:04006016,3,rental service,"Companies which provide rentals, including motor vehicles, tuxedos, tools, heavy equipment, and other supplies "
subj:04006017,3,wedding service,Services and products related to the wedding industry 
subj:04006018,3,personal finance,An individual's income and expenses 
subj:04006019,3,personal income,Money that a person earns and is his/hers to keep or spend 
subj:04006020,3,auction service,Sales by bidding 
subj:04006021,3,printing/promotional service,"Production of printed matter such as flyers, ads, signs etc "
subj:04006022,3,investment service,"Financial advisers, as opposed to stock dealers or consultants "
subj:04007000,2,consumer goods,Items produced for and sold to individuals 
subj:04007001,3,clothing,Items of apparel to wear 
subj:04007002,3,department store,Stores largely devoted to the sale of clothing to individuals 
subj:04007003,3,food,"Fruits, vegetables, breads, meats for human consumption "
subj:04007004,3,mail order,Items sold through and delivered by mail 
subj:04007005,3,retail,The last stage in the sales chain 
subj:04007006,3,speciality store,"Retail outlets that specialize in categories such as shoes, coats, power tools, etc "
subj:04007007,3,wholesale,The first link in the sales chain after production 
subj:04007008,3,beverage,"Liquid consumables, both alcoholic and non-alcoholic "
subj:04007009,3,electronic commerce,Buying and selling items through the Internet 
subj:04007010,3,luxury good,"Leather bags, jewellery, haute couture, accessories etc "
subj:04007011,3,non-durable good,"Lighters, pens and stationery, tableware, watches, glasses etc "
subj:04007012,3,toy,Children's plaything 
subj:04008000,2,macro economics,Broad scale economics and the world or national level 
subj:04008001,3,central bank,"A country's major bank that sets interest rates, and provides transfer of funds between commercial banks "
subj:04008002,3,consumer issue,"Those issues, such as prices, inflation/deflation, quality of goods, at the retail sales level "
subj:04008003,3,debt market,"Market for trading debt instruments such as bonds, CDs, bankers acceptances, T bills, notes, IOUs etc "
subj:04008004,3,economic indicator,"Certain indexes, such as company inventories, the movement of prices that show whether the economy is improving or declining "
subj:04008005,3,emerging market,Those markets that are struggling to enter the world economies and those requiring financial help from international lenders 
subj:04008006,3,foreign exchange market,"The trading of shekels, dinars, euros dollars etc around the world through regulated markets "
subj:04008007,3,government aid,"Supply of financial and other help by one government, usually to another "
subj:04008008,3,government debt,"The amount a government owes on bonds, services and for goods and services for which it has no ready cash "
subj:04008009,3,interest rate,The amount of money one must pay to borrow money 
subj:04008010,3,international economic institution,"Entities such as UNIDO, World Bank, World Trade Organization, the Import-Expert Bank etc that deals at a world level "
subj:04008011,3,international (foreign) trade,Trade of goods and services between nations 
subj:04008012,3,loan market,"The market where money is available to borrow, at certain rates of interest "
subj:04008013,3,economic organization,"Business, industrial and trade associations, societies and other private-sector groups. "
subj:04008014,3,consumer confidence,Reports on consumer confidence in the economy. 
subj:04008015,3,trade dispute,"International dispute over trade barriers, cartels, dumping etc. "
subj:04008016,3,inflation and deflation,"An increase in the amount of money in circulation and thereby a rise in prices; deflation, tighter monetary policy causing lower prices "
subj:04008017,3,prices,"The monetary value of goods, services or stocks and bonds "
subj:04008018,3,currency values,The value of one currency as measured against another 
subj:04008019,3,budgets and budgeting,A method of balancing revenues against expenses 
subj:04008020,3,credit and debt,"Credit: the amount of money available to you, often by loan. Debt, the amount you owe. "
subj:04008021,3,loans,"An agreement by one individual or institution to temporarily disperse money to another, with an agreed rate and time for its return "
subj:04008022,3,mortgages,"The loan of money for the purpose of purchasing a property, whether land or building. Or, for homeowners to repair or maintain properties, often based on owner equity in a property "
subj:04008023,3,financial markets,"Institutions set up to trade the shares or other financial paper of companies or other organizations, can also include currency trading "
subj:04008024,3,commodity markets,"The bartering or trading of goods such as cotton, oil, coal, metals, etc "
subj:04008025,3,investments,"Speculative purchases of corporate instruments, of commodities, currencies, or parts thereof "
subj:04008026,3,stocks,Corporate paper that gives an individual an ownership right to a part of a company's earnings 
subj:04008027,3,bonds,Corporate or governmental paper representing the loan of money at a fixed rate and for a fixed time to that company or government 
subj:04008028,3,mutual funds,"Pools of shares or bonds for sale often grouped by investment intention, such as growth, income or security "
subj:04008029,3,derivative securities,"Financial instruments such as futures, swaps and options, used for risk management, whose characteristics and value depend upon the characteristics and value of an underlying instrument, such as a commodity, bond, equity or currency. "
subj:04008030,3,imports,What is bought abroad and brought into a country for resale 
subj:04008031,3,exports,What is produced or manufactured in your country and sent and sold elsewhere 
subj:04008032,3,trade agreements,Government level agreements between countries for the sale and purchase of goods and services 
subj:04008033,3,trade policy,"Governmental decisions on tariffs, shipping, embargoes, and the types or kinds of goods and services to be imported and exported "
subj:04008034,3,business enterprises,Organizations set up usually for profit-making purposes by creating and selling a product or service 
subj:04008035,3,tariff,"Fees placed on goods imported or exported, often punitive "
subj:04008036,3,trade balance,The difference between the financial value of imports and exports 
subj:04009000,2,market and exchange,"Organized entities for buying and selling stocks, currencies, commodities and other goods "
