code,name,hierarchy,final_description
subj:01000000,"arts, culture and entertainment",1,"Name: arts, culture and entertainment
Description: Matters pertaining to the advancement and refinement of the human mind, of interests, skills, tastes and emotions 
Keywords: performing arts, visual arts, literary arts, music, theater, dance, painting, sculpture, photography, film, fashion, culinary arts, architecture, museums, galleries, concerts, exhibitions, festivals, crafts, design, poetry, literature, novels, opera, ballet, jazz, rock music, pop culture, street art, graffiti, modern art, classical music, creative writing, stand-up comedy, art history, artificial intelligence in art, cultural heritage, art conservation, art education, film industry, cinematography, animation, digital art, game design, arts criticism, arts funding, arts policy, arts therapy, cultural festivals, folk arts, indie music, art auctions, art fairs, art movements, fine arts, artistic expression, creative industries, entertainment law, cultural events, celebrity culture, art awards, art grants, art competitions, avant-garde, choreography, artistic collaboration, cultural identity, world music, collectible arts, artistic innovation, street performances, arts advocacy, art collectors, art dealers, art critics, cultural policy, genre cinema, historical reenactment, subcultures, artistic mediums, cultural studies, cultural tourism, artisanal crafts"
subj:01001000,archaeology,2,"Name: archaeology
Description: Probing the past through ruins and artefacts "
subj:01002000,architecture,2,"Name: architecture
Description: Designing of buildings, monuments and the spaces around them "
subj:01003000,bullfighting,2,"Name: bullfighting
Description: Classical contest pitting man against the bull "
subj:01004000,festive event (including carnival),2,"Name: festive event (including carnival)
Description: Parades, parties, celebrations and the like not necessarily tied to a fixed occasion or date "
subj:01005000,cinema,2,"Name: cinema
Description: Cinema as art and entertainment "
subj:01005001,film festival,3,"Name: film festival
Description: National and international motion pictures festivals, selections, festival juries, nominations, awards etc. "
subj:01006000,dance,2,"Name: dance
Description: The expression of emotion or message through movement "
subj:01007000,fashion,2,"Name: fashion
Description: The design of clothing and accessories "
subj:01007001,jewelry,3,"Name: jewelry
Description: Accessories to clothing "
subj:01008000,language,2,"Name: language
Description: The means by which people communicate with each other "
subj:01009000,library and museum,2,"Name: library and museum
Description: Edifices used to house collections of books, music, art, or objects from the past and present for public use and display "
subj:01010000,literature,2,"Name: literature
Description: The use of pamphlets, books or other printed matter to convey ideas, stories or other messages for the public "
subj:01010001,fiction,3,"Name: fiction
Description: Structured stories that are usually not based on fact but are the creation of the authors imagination "
subj:01010002,poetry,3,"Name: poetry
Description: The art, structure, forms of poetic expression "
subj:01011000,music,2,"Name: music
Description: Expressing emotion or message through instruments or voice using different sounds, tones, harmonies and the like "
subj:01011001,classical music,3,"Name: classical music
Description: Music that follows classic structures of rhythm and harmony "
