headline,lede,text,high_label,proposed_label
Dnevnik: Govt forced to act fast on top-up insurance,"Dnevnik argues in Thursday's commentary that the reason the government acted quickly to abolish top-up insurance is that not acting would have been too costly politically and would have given the opposition, which was getting ready to table its own legislation, a head start in an area that is crucial to the government's survival.","""It was not just prestige and political stability that necessitated the reaction, it was because the announced hike in the top-up health insurance premiums caught the government by surprise,"" the paper says, adding that the legislation is ""an attempt to take the initiative in the legislative and political context.""

Describing the government bill as a major development in an area where many centre-left governments and coalitions have failed while ""politicians on the opposite political pole vacationed on yachts and golf courses on exotic islands with major hospital suppliers and lobbyists,"" the commentator says this is but an introduction to ""a hot summer, when we can expect that all means will be activated to oppose change"".

A nice example of such stonewalling is public broadcaster RTV Slovenija, where nothing has happened after the referendum. Indeed, the situation has even worsened. ""The coalition cannot afford a similar fiasco in healthcare ... A year into its term, we may have finally heard a clear political message from the coalition that it has started to work for the people,"" concludes the commentary Working in the Interest of the People.",politics,"['politics', 'economy, business and finance']"
Marguč 3rd in last Snowboard World Cup parallel slalom event,Slovenian snowboarder Rok Marguč finished third in the final parallel slalom event of the season in the men's World Cup in Germany's Berchtesgaden on Saturday.,"Marguč finished behind Austria's Fabian Obmann as the winner of the event and Obmann's compatriot Arvid Auner, who was second.

The 36-year-old Slovenian, who was the fastest racer in the qualifiers, defeated Cody Winters of the US in the third-place match.",sport,['sport']
Corruption watchdog says it cannot be moral arbiter,"The Commission for the Prevention of Corruption (KPK), which has found itself under fire for finding no conflict of interest in the case of Antonija Poplas Susič, director of the Ljubljana Community Health Centre, said on Friday its work was restricted by law. ""We cannot be moral arbiters,"" the watchdog said.","""Because of vaious inaccurate assessments of our work as an independent state institution in the media"", the KPK stressed it is bound by the integrity and prevention of corruption act and ""cannot rule on the areas we have no powers on"".

""This means that we cannot be moral arbiters and decide whether the regulations dealing with employment and other relations are appropriate."" The KPK said it had called for changes to several laws on many occasions.

This comes after the watchdog found no conflict of interest in the case of Poplas Susič, who is not only the manager at Ljubljana's public health centre but also the only founder and director of private health centre Multimedicus.

The KPK said that ""based only on simultaneous execution of two offices or jobs, we cannot yet speak of a conflict of interest"".

It explained that an official such as director must exclude themselves from decisions on cooperation of their public institution with businesses with which the person has personal, business or political ties. Should they not, their actions would create an impression of conflict of interest, from where there is a short way to corruption.

If the law allows for practices that a certain part of society finds unacceptable such as a person managing a public institute also running a private clinic, a systemic solution must be found, the KPK said.

The same goes for the powers of the KPK, which should be addressed with changes to the integrity and prevention of corruption act, it said.

The procedure on Poplas Susič at the KPK has been suspended, but the KPK forwarded the complaint on the basis of which it had assessed her case to the community health centre's governing council, as the commission found ""the case contains at least signs of breaches of rules or other relevant information within the power of other bodies"".","crime, law and justice","['crime, law and justice', 'health']"
First public prayers draw split opinions,"The Catholic Youth organisation held the first public prayer of the rosary in Ljubljana's Congress Square on Friday morning. Around a hundred people attended the event, including the youth wing of the largest opposition party. Some criticised the event as sexist since men in particular had been invited, newspaper Delo reports.","A public prayer is more powerful than a private one, the organiser wrote in the invitation, addressing it in particular to ""young men and boys, who are the first to be called to be leaders and an example in serving as a witness to faith"".

That caused an uproar among a part of the public who believe that such actions deny women equality and social roles that men automatically have in society.

The founder of the Catholic Youth, the Slovenian Bishops' Conference (SŠK), supports the organisation's activities, including the public square prayer, arguing that it is a legitimate and common expression of faith.

Dismissing accusations about undermining gender equality, the SŠK said that the Church organised numerous events every day dedicated to different social groups. The organiser meanwhile stressed the importance of men in efforts to strengthen people's faith.

The participants prayed for the homeland, for the faith of Slovenian youth, for a successful start of the academic year and for world peace, said the organiser, which modelled the event on public prayers abroad, for example in Poland and Croatia, and intends to continue holding them.

Aleš Črnič, a religious studies expert from the Ljubljana Faculty of Social Sciences, told Delo that the event was part of the Church's global movement to retraditionalize social life and impose conservative views and norms on the rest of society.

He sees the Congress Square prayer more as a ""political manifestation"" than a religious ritual, noting that political activity is not protected by the principle of religious freedom.

According to Delo, the youth wing of the Democrats (SDS) had announced it would take part in the event, while the Christian conservative party New Slovenia (NSi) had not.

Meanwhile, constitutional law expert Samo Bardutzky from the Ljubljana Faculty of Law notes that the Constitution safeguards not only private expressions of faith but also public ones, including those that may border on political expressions.",religion and belief,['religion and belief']
Delo comments on Slovenia's limited power to help W Balkans,"While people in Bosnia-Herzegovina appreciate Slovenia's efforts to help them be integrated in the EU and NATO, doubt is being expressed from all sides in the country about the reach and power of diplomacy of small friends such as Slovenia, Delo says in the front-page commentary on Saturday.","Slovenian Foreign Minister Tanja Fajon said that the future of Bosnia-Herzegovina and all Western Balkan countries is indisputably in the EU and NATO, as she addressed an event in Sarajevo during her recent visit to the country.

Slovenia's inclination to the Western Balkans and the sincere efforts of Slovenian diplomacy to secure Bosnia-Herzegovina the EU candidate status are recognised by members of all three constituent nations in the country, the newspaper notes.

""At the same time ... doubt is being expressed from all sides in the country about the reach and power diplomacy of small friends like Slovenia. They appreciate the sincerity of small friends, but they are aware of the true power of large and loud opponents of the EU enlargement to the south-east, such as France and the Netherlands.""

Delo adds that in addition to the major opponents of enlargement among the member states, all those involved in the process are also very well aware of the opposition to the enlargement of NATO by Russia, which is very influential in the Serb part of Bosnia-Herzegovina.

The newspaper notes that many towns in Republika Srpska are being ruled by descendants of the Chetniks who openly celebrate Vladimir Putin and people sentenced for war crimes in The Hague.

""It would be naive to expect them to try to realise Fajon's vision,"" concludes the commentary headlined With Tiny Steps on a Long Journey.",politics,"['politics', 'unrest, conflicts and war']"
"Kyiv organiser says Laibach ""misunderstands reasons for our war""","The organiser of the cancelled Kyiv concert by Laibach rejected on Tuesday the Slovenian band's view it had been expected to categorically denounce all Russian art. Explaining this had not been demanded explicitly, Laibach in turn said its expressed appreciation of some Russian artists had been noted among the reasons for the cancellation.","Elaborating on the reasons for the cancellation of the concert planned for 31 March and commenting on Laibach's response, the Bel Etage Music Hall from Kyiv wrote that ""the concert was cancelled due to the protest of Ukrainians against the arrival of Laibach, which was caused by the band's misunderstanding of the reasons for our war"".

The organiser dismissed the view that it demanded of Laibach to dismiss all Russian art as worthless as a lie, saying the kept correspondence proved that.

""After their appeal to the Ukrainians, in which a whole paragraph is devoted to Russian art, no one demanded anything from them,"" the organiser says.

""The fact that everything Russian is toxic for us was mentioned in the letter cancelling the concert. That is, no one demanded anything,"" the organiser explained, adding the audience considered Laibach's stance on the war - the band framed it as a geopolitical conflict between Russia and the US on Ukrainian territory - as pro-Russian and anti-Ukrainian.

Meanwhile, Laibach explained for the STA today that the demand for the band to explicitly state that all Russians are bad and that all Russian art is worthless had not been made explicitly by the organiser.

However, Laibach added that its expressed appreciation of some Russian artists had been highlighted by the organiser as one of the reasons for the cancellation.

""Immediately after the concert was officially announced...there was an uproar on social media about some of our statements and interpretations about the possible causes of the Ukraine-Russia war, which are not fully in line with the Ukrainian view of things, so the promoter asked for our official statement that we unreservedly support Ukraine in this war,"" the world-renowned band wrote.

""We issued this statement, while adding that this does not mean that we hate everything Russian, and that we still appreciate some Russian artists,"" Laibach wrote.

""Not to be mistaken - we love Russian literature, music and art. We love Dostoyevsky, Bulgakov, Tchaikovsky, Scriabin, Mayakovsky, Tatlin, Rodchenko and El Lissitzky - to name but a few - and we always will. But in this senseless war between Russia and Ukraine, we are wholeheartedly on the side of Ukraine and its people...,"" reads part of Laibach's statement posted two days before Sunday's cancellation.

The band added today that the organiser had said the concert needed to be cancelled because the statement had not been formulated in the right way and caused additional uproar. The organiser said the statement that the band supported Ukraine in the war but did not reject Russian art had not been accepted well, Laibach said.

The band quotes the organiser as saying that for the Ukrainians everything Russian is toxic now, Russian literature is evil, the Russian language is evil, everything Russian only causes hatred. While the band did not seem to be aware of this, its statements have caused a lot of indignation, the organiser reportedly added.

""And that was also one of the reasons why the concert was cancelled,"" Laibach said.","arts, culture and entertainment","['unrest, conflicts and war', 'arts, culture and entertainment']"
Weather: Mostly sunny with chance of showers in the afternoon,"After a sunny start to Saturday, an intermittent cloud cover will appear in some areas in Slovenia later in the day. Local showers or storms will hit the northern and hilly western parts of the country in the afternoon. It will be quite warm.","Morning lows will stand between 6 and 12 degrees Celsius, and at around 4 in the frost pockets of the central-southern Notranjska region. Daytime highs will range from 20 to 25 degrees.

With fog hovering above certain low-lying areas, Sunday morning will be mainly sunny, but there will be cloudy spells in the afternoon, along with a higher chance of showers or storms.

Changeable or moderately cloudy weather is forecast for Monday with chillier temperatures and local downpours.",weather,['weather']
Interior Minister Poklukar welcomes migration deal with Tunisia,"Interior Minister Boštjan Poklukar noted the importance of cooperation with third countries in migration as he attended an informal meeting of the Justice and Home Affairs Council. In this light, he welcomed the agreement with Tunisia and said he expected the European Commission to continue such cooperation with other countries.","Speaking to the press after the first day of the two-day session in Spain's Logrono, Poklukar said that cooperation with third countries could help prevent crisis situations.

""The approach applied in cooperation with Tunisia goes in the right direction, as agreements with third countries should be more comprehensive and cover broader aspects than exclusively migration. We thus expect the European Commission to continue such work with other countries, such as Morocco and Egypt,"" he said.

As part of the agreement, the EU will financially compensate Tunisia with more than EUR 100 million this year for its contribution in preventing migrants and refugees from going to Europe.

The agreement has been criticised by members of Human Rights Watch, who on Wednesday called on the EU to suspend the agreement in light of serious abuses of migrants by the Tunisian security authorities.

The session of the EU ministers also discussed access to data for combatting crime in the digital age, combatting organised crime, cooperation with Latin America and the situation in Ukraine in relation to internal security.

As part of the discussion on illicit drug trade, Minister Poklukar noted that in combatting organised crime, it was necessary to improve cooperation with regions that had a significant influence on this trade or that were the countries of origin.

He singled out the Western Balkans as a priority transit region that affects the situation in Slovenia.

The ministers were united in the opinion that, in order to effectively investigate this kind of crime, it is necessary to follow the principle of the flow of money and to invest all available resources and knowledge, the Interior Ministry said.","crime, law and justice","['politics', 'crime, law and justice']"
Valentina Prevolnik Rupel appointed new health minister (adds),"Economist Valentina Prevolnik Rupel, a state secretary at the Health Ministry, was appointed health minister in a 48:17 vote on Friday. She is replacing Danijel Bešič Loredan, whom PM Robert Golob asked to resign in early July over different views on how to reform the country's public healthcare. Prevolnik Rupel has already been sworn in.","Prevolnik Rupel, born in 1971, stressed better access to healthcare, high-quality services, a reform of the basket of services, and patients who don't have a named GP as her priorities during her hearing on the parliamentary Health Committee, which endorsed her candidacy on Tuesday.

She holds a PhD in economics, with her 2009 thesis focussing on healthcare financing and quality, while she has served as Health Ministry state secretary for the past three months, working closely with Golob, who stepped in as health minister. She has also been on the health council, an advisory body drafting reform proposals.

Before becoming state secretary, she was a researcher at the Institute of Economic Research in Ljubljana focussing on healthcare and long-term care, while she had previously also served as adviser to the health minister and to the director general of the country's public health fund ZZZS.

Presenting his pick to MPs, Golob said today that Prevolnik Rupel had the best insight into the challenges of healthcare, which made her the best choice for the job.

She also enjoys the support of all healthcare stakeholders, which is a clear sign that she is the one who can give the most efficient solutions to the challenges ahead.

Golob is confident that she will manage to cut wait times and enable access to a GP to more patients, while her main task will be to introduce quality of health services into the way they are financed.

The MPs of all three coalition parties hailed Prevolnik Rupel's competences, but stressed that she must immediately continue the ministry's work and be efficient.

Bojana Muršič of the Social Democrats (SD) said that Prevolnik Rupel's priorities were consistent with the goals of the coalition agreement.

Since people want an accessible, high-quality and public healthcare system, while time is running out, ""the work must continue with a lot of efficiency"".

Muršič believes that Prevolnik Rupel not being a medical doctor is by no means an obstacle but an advantage as she knows the system well.

The Left expects the new minister to be foremost the bulwark of public healthcare and to be aware that the market logic must be driven out of Slovenia's healthcare.

As for Prevolnik Rupel's plans to overhaul the basket of services, MP Matej Tašner Vatovec said the Left understood it not as reducing them but as introducing more order.

The minister will also have to pun an end to a number of lobbies, including those of doctors, insurers and all the other private interests, he said.

Muršič and Tašner Vatovec urged changing the manner in which the public health fund ZZZS is funded as a prerequisite to achieve the set goals.

The SD welcomed Prevolnik Rupel's view to merge the current mandatory and voluntary health insurance contributions and suitably adjust the contribution rate to secure enough funds, while Vatovec said that new sources of funds should also be considered.

The two opposition parties, on the other hand, votd against the candidate. The Democrats (SDS) said that healthcare reform was not Prevolnik Rupel's goal anymore, while New Slovenia (NSi) said that health policy did not depend on the minister alone but on the entire coalition.

SDS MP Karmen Furman indicated that the government coalition had obviously dropped the health reform, as it had not implemented any of the announced legislative changes yet. ""There is clearly no more health reform in this coalition, so the main question here is whether the minister has a goal.""

Furman also complained Prevolnik Rupel outlined the situation in healthcare to the Health Committee but presented no solutions, including for psychotherapy.

Given her credentials, the SDS is surprised Prevolnik Rupel mentioned the basket of services as a priority while she was unable to say how she will define the basket.

NSi MP Iva Dimic said the new minister would have to act fast to tackle issues such as a shortage of staff, staff leaving abroad, staled investment, problems with the congenital heart disease department, management of medical organisations, dental care, orthodontics, digitalisation and mental health.

The NSi also expect her to tackle psychotherapy and waiting times, said Dimic, noting that despite a number of measures, waiting times have not been shortened.

In her statements before the appointment, Prevolnik Rupel indeed said that she will pursue a thought-out search for solutions and changes instead of a reform that would put healthcare upside down.

She announced several bill to address the priority areas, that is access to high-quality services. ""We'll take them on comprehensively, which means introducing gradual change step by step and in collaboration with all stakeholders, to comprehensively tackle healthcare.""

In her first statement after the appointment, Prevolnik Rupel said the work that had been set out at the ministry will be continued, and the ministry is already working on an emergency bill which will bring a number of measures.

She believes a solution will be found to the shortfall in ZZZS's revenue projected when voluntary health insurance is transformed into a mandatory contribution, which will be discussed with the Finance Ministry. Next year, the shortfall will be covered from the national budget.

As for her team, she said Marjan Pintar remains state secretary, to be joined by doctor Eva Vodnik, and Denis Kordež, deputy director at a community health centre.",health,"['politics', 'health']"
Dnevnik says govt must act to address shortage of teachers,"The newspaper Dnevnik discusses the shortage of teachers Slovenia is facing in its commentary on Friday, saying the government must start addressing the issue immediately.","The Ministry of Education has said that Slovenia was approaching a turning point that will lead to an increase in demand for teachers due to an increase in teachers retiring and an increase in the number of school-aged children.

To mitigate the negative effects this will have, the ministry plans to earmark more funds for education, scholarships for future teachers, financial aid, better work conditions and making the teaching profession more attractive in general.

Under the headline In Search of New Teachers, the paper says that there is no time to waste and that a comprehensive strategy is needed to make this change.

""Searching for a solution must not take longer than one (this) government term. During the next term, implementation will have to take place: training new teachers. Or else time will run out.""",education,"['politics', 'education']"
