headline,text,high_label,label
Delo comments on internal dynamics of parliamentary parties,"The two biggest parties, the Democrats (SDS) and the Freedom Movement seem to be the most stable of all. Both are behemoths on their sides of the political spectrum, as the society once again becomes increasingly torn along ideological lines.

Meanwhile, the SDS's second in commands, Anže Logar, is launching a path to the central field. His chances to make it in the next election, which is still three years away, are not very good.

If he comes off as a satellite of the SDS, he does not stand much chance of making it into the National Assembly. But if he cuts the cord from SDS, the party will torpedo his project before it even begins.

The best, albeit highly unlikely, scenario for Slovenia's democracy would be Logar taking over the SDS, Delo says under the headline If Logar Cut the Cord.

New Slovenia (NSi) is meanwhile barely surviving in the shadow of the SDS and those higher up the party ranks would willingly sacrifice leader Matej Tonin for at least a slight uptick of the polls.

On the other side of the isle, Jani Prednik is launching an attempts to become the head of the Social Democrats (SD), as many in the party have come to realise that its leader Tanja Fajon would become vulnerable if Slovenia fails to win the election for non-permanent membership in the UN Security Council.

Meanwhile, Miha Kordiš has just launched an activist wing of the Left, claiming that the party had been hijacked for career purposes of its leader Luka Mesec and his clique.",politics,politics
Voice of the People unhappy with coalition party leaders,"The group held a similar pre-election discussion in April 2022, where all three presidents of the coalition parties were in attendance, so it had expected them to attend today's post-election discussion as well.

Voice of the People wanted the coalition leaders to express their commitments directly to the people in a live, open and public space, so that people can ask them questions directly.

To show its disappointment, Voice of the People has written an open letter to Freedom Movement leader Robert Golob, Social Democrats (SD) president Tanja Fajon and leader of the Left and Luka Mesec.

The letter states that the three officials changed their minds about attending the meeting ""at the last minute"" and decided that the deputy group leaders would attend instead.

The letter states that a meeting with the deputy group leaders is welcome, ""but it cannot be a substitute for a meeting"" with Golob, Fajon and Mesec, who made certain commitments to the voters in their pre-election debates.

Voice of the People also pointed out that this post-election discussion is important in creating a continuous dialogue between the people and their government, which is an essential part of the democratic process.

The group is now inviting the coalition leaders to a new discussion on 20 September.",politics,politics
"Daily headlines - Tuesday, 29 August","<b>DELO</b>

<b>Floods</b>
""Three weeks after floods, red alert is back"": Hydrologist Janez Polajnar warns about the unpredictable nature of current flooding, pointing to the danger of swollen tributaries of major rivers. (front page, page 3)

<b>Agriculture</b>
""Reducing emissions in cattle farming"": There are no ambitious targets in efforts to mitigate the impact of climate change in farming, but it will still be hard to meet them. (front page, page 4)

<b>Basketball World Cup</b>
""Jaka Blažič's injury coincides with second win"": The Slovenian men's basketball team achieved another win at the FIBA Basketball World Cup 2023, having beaten Georgia, a tougher opponent than the previous, but Jaka Blažič's injury is a cause for concern. (front page, page 13)

<b>DNEVNIK</b>

<b>Floods</b>
""Storms unroofing buildings in Istria, flooding underpasses in Ljubljana"": Yesterday's storms flooded parts of all four coastal municipalities before moving eastward to pound central Slovenia. A firefighter was struck by lighting in the port of Koper and transported to hospital. (front page, page 3)

<b>Ljubljana</b>
""At least 40 trees will have to be felled in Barjanska Road"": The planned expansion of the tree-lined Barjanska Road will come at the cost of at least 40 trees. (front page, page 8)

<b>BSF</b>
""New ideas for EU enlargement process"": The EU and the Western Balkans must be ready for enlargement by 2030, European Council President Charles Michel said at the opening of the Bled Strategic Forum in what was the first time he mentioned a target deadline for this. The region's leaders were rather unimpressed. (front page, page 4)

<b>FINANCE</b>

<b>Stock market</b>
""Investor Maks explains how floods swept away returns on Slovenian shares too"": Since the early-August floods, the Ljubljana Stock Exchange is among the stock markets who have lost the most. (front page, pages 2-3)

<b>Banks</b>
""Banks rising prices of services: NKBM, SKB and BKS"": Amid debates about enormous banks' profits and the possibility of a windfall tax, certain banks are increasing the prices of their services. NKBM and SKB will do this in November and BKS in October. (front page, pages 4-5)

<b>VEČER</b>

<b>BSF</b>
""EU enlargement on agenda in Bled"": The Western Balkan countries are not pleased with the potential 2030 deadline for EU enlargement, since they believe the region should join the bloc sooner. (front page, page 4)

<b>Floods</b>
""Some politicians hibernating post-floods"": National Assembly President Urška Klakočar Zupančič has retreated background after the early-August floods, but she plans to visit the affected communities in September. Democrats MP Anže Logar helped on his own rather than participating in his party's relief efforts. (front page, page 3)

<b>Basketball World Cup</b>
""Is Friday D Day?"": Scoring 34 points, Luka Dončić led Slovenia to their second victory at the FIBA Basketball World Cup 2023. The team will finish first in Group F and will most likely face Australia after the Cape Verde islands. (front page, page 11)",disaster and accident,disaster and accident
"Golob, Bettel agree all EU candidates should be treated equally (adds)","""Enlargement was a technical issue for 20 years, meaning being virtually left to the European Commission and the fulfilment of technical criteria. The view has changed somewhat due to the Russian aggression against Ukraine, and the process is becoming an increasingly geopolitical issue,"" Golob said at a joint press conference with Bettel.

He added that Slovenia was in touch with the European Commission in order to clearly present its position - that the Western Balkans should be treated equally or similarly to Ukraine and Moldova when it comes to EU enlargement.

The Slovenian prime minister noted that several other EU member states agreed with such a position, while adding that, in addition to the technical conditions, the geopolitical reality must also be taken into account.

""We do not want the Western Balkans to suddenly become hostage to some foreign forces just because the Commission has not been paying attention,"" Golob said.

Bettel agreed that all countries that wish to join the EU should be treated equally, while nevertheless emphasising more the importance of compliance with the conditions.

""The rules are the same for everyone and I will insist on that,"" he said, adding that there was no system that would bypass the rules and enable faster accession.

Thus, Bettel said regarding support for the start of talks with Bosnia and Herzegovina, for which Golob called for in a recent letter to European Council President Charles Michel, that he would wait for the European Commission's report.

The Commission is expected to present an enlargement report, in which it analyses whether the candidate countries have met the various required conditions, in October.

The Slovenian and Luxembourg prime ministers also talked at the meeting about the war in Ukraine and business cooperation, especially in space technologies.

They then travelled to Schengen, a village in Luxembourg where the Schengen Agreement was signed in 1985 to abolish border controls among several EU member states.

The prime minister noted the importance of preserving the Schengen Area and free movement, which Bettel described as a great achievement. ""If we want Schengen to work, its external borders must also work,"" he said.

Golob said that Slovenia advocated for the full functioning of the Schengen Area, whose members should act responsibly at the external borders, while at the same time being aware of the benefits it brought.

He reiterated Slovenia's criticism of Austria repeatedly extending checks at the border with Slovenia.

Bettel also noted the importance of an area without border control for the economic development, which is one of the key topics of today's visit of the Slovenian prime minister.

There has been progress since Bettel's visit to Slovenia in February, Golob said, noting space technologies, where the two countries will improve cooperation by signing a memorandum on the sidelines of the Slovenia-Luxembourg business forum.

""We expect a lot from this, because Luxembourg is a sort of a pioneer in this field, and our industry is also keeping up with the pace of development in some niche areas,"" he said.

Golob believes that Slovenia and Luxembourg together will be able to create a ""success story at the European level as well"".

The business forum will also feature tourism, wood processing and furniture companies, and the direct air link between the countries' capitals, to be launched on Thursday by Luxair, the flag carrier of Luxembourg, will be presented.",politics,politics
Diplomatic charity bazaar in Ljubljana brings together 48 embassies,"Around 60 stands were put in Stritar Street and in front of the Town Hall to present the participating countries and their traditional products, which could be purchased by visitors.

At its stand, the SILA association offered ""bags of happiness"" for a symbolic price. These were prepared with the help of donations from various companies and with representatives of the countries participating in the bazaar.

Like every year, the entire proceeds will be donated to charity. This year, the collected funds will be allocated to various organisations and part of the funds also to the families affected by the August floods.

The event was opened in front of the Robba Fountain by SILA president Lali Sladjana Ilić and Chinese Ambassador Wang Shunqing.

""I'm happy and proud that China is the guest of honour this year,"" said Wang, thanking the SILA association for organising the event and other embassies and communities for participating and contributing to the event.

The Chinese embassy hosted a special event, a lion dance, performed by children in traditional clothes to the sounds of Chinese music. They were joined by children from sport clubs and Ljubljana and international primary schools.

SILA was established in November 1993 by a group of spouses of Slovenian ambassadors and business executives when foreign diplomatic representation offices started opening in Ljubljana after Slovenia gained independence.

They were soon joined by spouses of foreign ambassadors, business executives and members of the academia.","arts, culture and entertainment",social issue
EUR 11 per share offered in Datalab takeover bid,"Together with persons with whom it acts in concert, the group interested in Datalab already controls 70.51% of the Slovenian IT company.

Apart from Datalab founder and CEO Mertelj, these persons are Datalab's present management and employees, who are also shareholders.

Datalab announced the intention of the group of international investors, led by seasoned Slovenian IT manager Simon Kaluža, to acquire the company in early July.

The takeover bid applies to 645,848 of a total of almost 2.19 million Datalab shares that the persons acting with the bidder do not already own.

Rucio, represented by Kenneth Flanagan and Sebastien Denis, will consider its bid successful if it manages to acquire 80% of all shares, that is around 1.75 million.

Rucio and Mertelj signed on 4 July an agreement on a joint takeover with the persons who already own some of the shares.

The agreement says that Rucio will provide funds for the payment of shares, and acquire all shares subject to takeover when the takeover is completed.

It also allows new Datalab shareholders to transfer minority shareholders onto Rucio and buy them out, and to withdraw Datalab from the stock market.

Datalab Tehnologije shares are traded on the Ljubljana Stock Exchange in the standard market. The last deal with its shares was made on 25 July at EUR 12.20 apiece.

When the group of investors announced its intention for the takeover on 7 July, Datalab said that Kaluža would be appointed as a new member of Datalab's management board.

He has 30 years of experience in IT, having worked for the former Ljubljana IT company Hermes Softlab and the German ICT giant SAP.

Kaluža expressed last month strong trust in Datalab's sustainable growth and potential, while stressing that forces will be joined with Mertelj, ""who has incredible industry knowledge and visionary leadership"".

With 25 years of experience, Datalab is best known for its enterprise resource planning system Pantheon, which it lauds as the leading product of this kind in the region.",labour,labour
Govt approves additional EUR 26m for sustainable heating,"The Government Communications Office(UKOM) said that the value of the project is increasing due to increased needs and benefits of the measure in the field of renewables. The implementation period will not change.

The project is funded by the Climate Change Fund and encourages the use of renewables in heating by replacing outdated small inefficient furnaces with new ones fired by wood biomass or heat pumps. Indirectly, the project aims to improve the quality of air.

""In the long term this will help reduce greenhouse gas emissions and improve the quality of air, which is one of the environmental problems that is harmful to human health, while long-term exposure to poor quality air can lead to an earlier death for vulnerable groups,"" the government said.",environmental issue,environmental issue
Tour of Slovenia gets under way,"Pogačar, 24, will miss out on this year's iteration due to his wrist injury and consequently delayed preparations for the Tour de France, which will get under way in less than three weeks. The Slovenian cycling star has so far won two Tour de France titles and two Tour of Slovenia titles.

Another two-time Tour of Slovenia winner, Primož Roglič, will also skip this year's race, and in their absence, the pool of favourites will be bigger. Pogačar's team UAE Team Emirates bets on Slovenia's Domen Novak and Italy's Diego Ulissi, who has two Tour of Slovenia titles and aims to get a record third.

UAE Team Emirates will be one of four participating teams that are at UCI WorldTeam level, others being Bahrain Victorious, Bora-Hansgrohe and Jayco-AlUla.

Riding for Bahrain Victorious, among favourites for stage wins is Slovenia's Matej Mohorič, whereas Dutch rider Wout Poels is seen as the team's candidate for the overall victory.

Other likely favourites are Irishman Eddie Dunbar (Jayca AlUla) and Dutch and Italian riders Ide Schelling and Giovanni Aleotti (Bora-Hansgrohe). Riding for Jayca AlUla, Luka Mezgec is another Slovenian vying to bag stage wins.

A total of 140 riders, including some 30 Slovenians, are expected to take part in the race.

Starting in Celje, a town in eastern Slovenia, the first stage will end in the spa resort of Rogaška Slatina. Stage 2 will take the riders from Žalec to Ormož in the north-east of the country, whereas stage 3, the most tailored to sprinters' preferences, will run from Grosuplje to Postojna in southwestern Slovenia.

What will take place next is the only mountain stage of the Tour of Slovenia, a ride from Ljubljana to Kobarid that will feature a climb with 9.5% gradient. The final stage will kick off in Vrhnika and end in Novo Mesto in the south-east. Right before the finish line the riders will face a 2.3-km ascent with an average gradient of 9.6% and segments where steepness will exceed 20%.

Altogether, the riders will have to conquer some 833 kilometres and climb 9,134 vertical metres.

The Tour of Slovenia falls under the second highest rating category according to UCI Pro race classifications. All stages will be broadcast by TV Slovenija 2 and Eurosport.

The race will be televised in more than 130 countries in what is an opportunity to promote Slovenia's tourism, Tour of Slovenia director Bogdan Fink recently said. In the past five years of its partnership with Eurosport, the race has been watched by more than 46 million viewers worldwide.",sport,sport
Govt to refund fines issued for breaking Covid-19 restrictions,"This is one of the important steps in rebuilding trust in the rule of law as one of the fundamental constitutional principles, ""which was significantly undermined by the use of excessive and unconstitutional repression ... during the Covid-19 epidemic"", the minister said.

She noted the Constitutional Court had found unconstitutional several provisions of the law on communicable diseases and the law on public assembly, based on which the previous government adopted decrees which were the legal basis for infraction proceedings.

The decision on halting the infraction proceedings was made based on an analysis of the legal bases used in the proceedings related to the violations of Covid-19 measures.

Between 7 March 2020 and 30 May 2022 a little more than 62,000 infraction proceedings were launched unconstitutionally and the fines issued totalled EUR 5.7 million. About 30% or just over EUR 1.7 million has been paid or recovered, while the rest is in the process of being recovered, Švarc Pipan said.

The bill, which will be processed in parliament in a regular procedure, envisages halting all ongoing infraction proceedings, halting the recovery of fines as well as refunding the fines issued and the costs of procedures. The refund will not be subject to tax.

The legal consequences of the offences are also to be remedied by automatically deleting the data from all records.

The minister said that the government was aware that the Janez Janša government was faced with great uncertainty in the face of the Covid outbreak and that it had to act quickly. This is why the Slovenian constitutional order allows in such exceptional cases for the government to adopt temporary measures directly interfering with the freedom of movement and the right to assembly and association, in order to contain the spread of an infectious disease and thus effectively protect other human rights, she said.

""However, and this is crucial, such regulation must be consistent with the fundamental postulates of the constitutional order and the rule of law, such as legality, legal certainty and the predictability of the legal order. A crisis cannot and must not be an excuse to undermine them"", she concluded.","crime, law and justice","crime, law and justice"
CoE's observers of 2022 local elections propose some improvements,"The delegation of the Congress of Regional and Local Authorities says in its report that the very decentralised electoral commissions carried out the elections very professionally, transparently and efficiently, and that election day was very calm.

Despite several elections taking place in 2022 in Slovenia, the campaign was mainly focused on local issues and competitive, and election day was very peaceful, transparent and efficiently managed from opening to closing and counting.

Despite the generally positive assessment, the report points to several areas where improvement is needed, including taking steps to make the number of voters per polling station more equally distributed across the country and having more uniform rules on sealing the ballot boxes, which should be more clearly marked.

Measures should also be taken to balance the strong advantage of incumbent mayors in the election race, while rules on financing the election campaign should be revised to increase allowed funding per candidate, as low funding could encourage them to seek ""creative"" sources of funds.

The report urges including more women in local government to increase the low number of female mayors and members of local councils, while it acknowledges that progress has been made in recent years.

As for ethnic communities, the report says the Hungarian and Italian minorities enjoy a relatively high level of rights, while the Roma community, which is bigger yet territorially more dispersed, only enjoys political representation at local level, not at national level.

The Slovenian authorities are urged to continue the discussion to expand the status of ethnic communities to more communities, pointing to the Roma community as the biggest but not well represented, while also highlighting ethnic groups from former Yugoslav republics and a small German-speaking community.",politics,politics
