review,aspect,label
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",hotel,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",pokojach,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",dywan,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",łazience,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",Wyposażenie,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",kran,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",drzwi na balkon,negative
"Na samym wejściu hotel śmierdzi . W pokojach jest pleśń na ścianach , brudny dywan . W łazience śmierdzi chemią , hotel nie grzeje w pokojach panuje chłód . Wyposażenie pokoju jest stare , kran się rusza , drzwi na balkon nie domykają się . Jedzenie jest w małych ilościach i nie smaczne . Nie polecam nikomu tego hotelu .",Jedzenie,negative
"Przerost formy nad treścią ! Bardzo drogi hotel 4 * który powinien mieś jakieś 2 * . Jest tu niby sporo atrakcji np : kręgle , łyżwy , konie , aqua park itd . Wszystko jest tandetne . Nie polecam nikomu tego hotelu . Ewentualnie pary z dzieckiem mogą być zadowolne",hotel,negative
"Przerost formy nad treścią ! Bardzo drogi hotel 4 * który powinien mieś jakieś 2 * . Jest tu niby sporo atrakcji np : kręgle , łyżwy , konie , aqua park itd . Wszystko jest tandetne . Nie polecam nikomu tego hotelu . Ewentualnie pary z dzieckiem mogą być zadowolne",kręgle,negative
"Przerost formy nad treścią ! Bardzo drogi hotel 4 * który powinien mieś jakieś 2 * . Jest tu niby sporo atrakcji np : kręgle , łyżwy , konie , aqua park itd . Wszystko jest tandetne . Nie polecam nikomu tego hotelu . Ewentualnie pary z dzieckiem mogą być zadowolne",łyżwy,negative
"Przerost formy nad treścią ! Bardzo drogi hotel 4 * który powinien mieś jakieś 2 * . Jest tu niby sporo atrakcji np : kręgle , łyżwy , konie , aqua park itd . Wszystko jest tandetne . Nie polecam nikomu tego hotelu . Ewentualnie pary z dzieckiem mogą być zadowolne",konie,negative
"Przerost formy nad treścią ! Bardzo drogi hotel 4 * który powinien mieś jakieś 2 * . Jest tu niby sporo atrakcji np : kręgle , łyżwy , konie , aqua park itd . Wszystko jest tandetne . Nie polecam nikomu tego hotelu . Ewentualnie pary z dzieckiem mogą być zadowolne",aqua park,negative
"Pan doktor ma duże doświadczenie i dlatego wiem , ze oddaje się w dobre ręce . Niestety nasz NFZ tak działa , że człowiekowi ręce opadają . Nie mniej jednak polecam doktora i mam nadzieję , że uda mi się uzyskać zabiek laserowej dekompresji dysków w ramach świadczenia zdrowotnego z Narodowego Funduszu , i ze zabieg ten wpłynie znacząco ( czyt . poprawa ) na moje zdrowie .",Pan doktor,positive
"Pan doktor ma duże doświadczenie i dlatego wiem , ze oddaje się w dobre ręce . Niestety nasz NFZ tak działa , że człowiekowi ręce opadają . Nie mniej jednak polecam doktora i mam nadzieję , że uda mi się uzyskać zabiek laserowej dekompresji dysków w ramach świadczenia zdrowotnego z Narodowego Funduszu , i ze zabieg ten wpłynie znacząco ( czyt . poprawa ) na moje zdrowie .",dekompresji,positive
"nie polecam , leczyła m dziecko u Pani doktor 2 , 5 roku , straciła m multum kasy na nie potrzebne leki o mało nie doprowadziła mojego dziecka do astmy bo przez ten cały czas leczyła bez jakichkolwiek badań jak zmieniła m lekarza to był zszokowany stane dziecka regularnie leczonego stanowczo nie polecam",Pani doktor,negative
"nie polecam , leczyła m dziecko u Pani doktor 2 , 5 roku , straciła m multum kasy na nie potrzebne leki o mało nie doprowadziła mojego dziecka do astmy bo przez ten cały czas leczyła bez jakichkolwiek badań jak zmieniła m lekarza to był zszokowany stane dziecka regularnie leczonego stanowczo nie polecam",leki,negative
"nie polecam , leczyła m dziecko u Pani doktor 2 , 5 roku , straciła m multum kasy na nie potrzebne leki o mało nie doprowadziła mojego dziecka do astmy bo przez ten cały czas leczyła bez jakichkolwiek badań jak zmieniła m lekarza to był zszokowany stane dziecka regularnie leczonego stanowczo nie polecam",lekarza,negative
"Była m wczoraj na pierwszej wizycie u doktora Ufnalewskiego . Sympatyczny , pomocny , wprowadza atmosferę spokoju . Zapomniała m jednak zapytać w jakim szpitalu pracuje , czy wogóle pracuje w szpitalu czy tylko prowadzi swój prywatny gabinet ? Gdyby któraś z Was wiedziała bardzo proszę o odpowiedź , z góry dziękuję .",doktora,positive
