pdf_name,speaker_name,speaker_position
ni_en.pdf,Denis Ronaldo Moncada Colindres,Minister for Foreign Affairs
in_en.pdf,Subrahmanyam Jaishankar,Minister for External Affairs
jm_en.pdf,Kamina Johnson Smith,Minister for Foreign Affairs and Foreign Trade
bt_en.pdf,Tandi Dorji,Minister for Foreign Affairs
zm_en.pdf,Stanley Kakubo,Minister for Foreign Affairs
mv_en.pdf,Ahmed Khaleel,Minister for Foreign Affairs
kp_en.pdf,Song Kim,Chair of the Delegation
sm_en.pdf,Damiano Beleffi,Chair of the Delegation
ca_en.pdf,Robert Rae,Chair of the Delegation
vu_en.pdf,Odo Tevi,Chair of the Delegation
pgaclosing_en.pdf,Dennis Francis,President of the General Assembly
cv_en.pdf,José Ulisses Correia e Silva,Prime Minister
la_en.pdf,Saleumxay Kommasith,Deputy Prime Minister
et_en.pdf,Demeke Mekonnen Hassen,Deputy Prime Minister
pg_en.pdf,John Rosso,Deputy Prime Minister
id_en.pdf,Retno Lestari Priansari Marsudi,Minister for Foreign Affairs
ph_en.pdf,Enrique Austria Manalo,Secretary for Foreign Affairs
nz_en.pdf,Nanaia Mahuta,Minister for Foreign Affairs
is_en.pdf,Thórdís Kolbrún Reykfjörd Gylfadóttir,Minister for Foreign Affairs
eg_en.pdf,Sameh Hassan Shoukry Selim,Minister for Foreign Affairs
vc_en.pdf,Ralph Gonsalves,Prime Minister
ws_en.pdf,Fiamē Naomi Mata'afa,Prime Minister
kn_en.pdf,Terrance Micheal Drew,Prime Minister
fj_en.pdf,Sitiveni Ligamamada Rabuka,Prime Minister
bd_en.pdf,Sheikh Hasina,Prime Minister
il_en.pdf,Benjamin Netanyahu,Prime Minister
mu_en.pdf,Pravind Kumar Jugnauth,Prime Minister
mk_en.pdf,Stevo Pendarovski,President
my_en.pdf,Anwar Ibrahim,Prime Minister
mt_en.pdf,Robert Abela,Prime Minister
nl_en.pdf,Mark Rutte,Prime Minister
pk_en.pdf,Anwaar-ul-Haq Kakar,Prime Minister
th_en.pdf,Srettha Thavisin,Prime Minister
lc_en.pdf,Philip Joseph Pierre,Prime Minister
ki_en.pdf,Taneti Maamau,President
tl_en.pdf,José Ramos-Horta,President
ss_en.pdf,Salva Kiir Mayardit,President
rs_en.pdf,Aleksandar Vučić,President
dm_en.pdf,Charles Angelo Savarin,President
lk_en.pdf,Ranil Wickremesinghe,President
ke_en.pdf,William Samoei Ruto,President
fm_en.pdf,Wesley Simina,President
ps_en.pdf,Mahmoud Abbas,President
rw_en.pdf,Paul Kagame,President
cy_en.pdf,Nikos Christodoulides,President
na_en.pdf,Hage Geingob,President
ro_en.pdf,Klaus Werner Iohannis,President
sr_en.pdf,Chandrikapersad Santokhi,President
ba_en.pdf,Zeljko Komšić,Chairman of the Presidency
lt_en.pdf,Gitanas Nausėda,President
sk_en.pdf,Zuzana Čaputová,President
fi_en.pdf,Sauli Niinistö,President
bg_en.pdf,Rumen Radev,President
gy_en.pdf,Mohamed Irfaan Ali,President
hr_en.pdf,Zoran Milanović,President
ao_en.pdf,João Manuel Gonçalves Lourenço,President
lv_en.pdf,Edgars Rinkēvičs,President
kr_en.pdf,Yoon Suk Yeol,President
hu_en.pdf,Katalin Novák,President
si_en.pdf,Nataša Pirc Musar,President
pgaopening_en.pdf,Dennis Francis,President of the General Assembly
br_en.pdf,Luiz Inácio Lula da Silva,President
uz_en.pdf,Shavkat Mirziyoyev,President
tr_en.pdf,Recep Tayyip Erdoğan,President
pt_en.pdf,Marcelo Rebelo de Sousa,President
qa_en.pdf,Sheikh Tamim bin Hamad Al Thani,Amir
za_en.pdf,Matamela Cyril Ramaphosa,President
jo_en.pdf,Abdullah II ibn Al Hussein,King
tm_en.pdf,Serdar Berdimuhamedov,President
unsg_en.pdf,António Guterres,Secretary-General
pl_en.pdf,Andrzej Duda,President
am_en.pdf,Ararat Mirzoyan,Minister for Foreign Affairs
ae_en.pdf,Reem Ebrahim Al Hashimy,Minister for International Cooperation
om_en.pdf,Sayyid Badr bin Hamad bin Hamood Albusaidi,Minister for Foreign Affairs
bz_en.pdf,Eamon Courtenay,Minister for Foreign Affairs and Foreign Trade
er_en.pdf,Osman Saleh Mohammed,Minister for Foreign Affairs
bn_en.pdf,Dato Erywan Pehin Yusof,Second Minister for Foreign Affairs
ve_en.pdf,Yvan Gil Pinto,Minister for Foreign Affairs
no_en.pdf,Anne Beathe Tvinnereim,Minister of International Development
ls_en.pdf,Ntsokoane Samuel Matekane,Prime Minister
ge_en.pdf,Irakli Garibashvili,Prime Minister
ie_en.pdf,Leo Varadkar,Taoiseach
gd_en.pdf,Dickon Mitchell,Prime Minister
tv_en.pdf,Kausea Natano,Prime Minister
to_en.pdf,Siaosi 'Ofakivahafolau Sovaleni,Prime Minister
gb_en.pdf,Oliver Dowden,Deputy Prime Minister
sg_en.pdf,Vivian Balakrishnan,Minister for Foreign Affairs
au_en.pdf,Penny Wong,Minister for Foreign Affairs
bh_en.pdf,Abdullatif bin Rashid Al Zayani,Minister for Foreign Affairs
bs_en.pdf,Frederick Audley Mitchell,Minister for Foreign Affairs
se_en.pdf,Tobias Billström,Minister for Foreign Affairs
vn_en.pdf,Pham Minh Chinh,Prime Minister
sb_en.pdf,Manasseh Damukana Sogavare,Prime Minister
al_en.pdf,Bajram Begaj,President
cn_en.pdf,Han Zheng,Vice-President
ug_en.pdf,Jessica Alupo,Vice-President
tz_en.pdf,Philip Isdor Mpango,Vice-President
li_en.pdf,Dominique Hasler,Minister for Foreign Affairs
at_en.pdf,Alexander Schallenberg,Federal Minister for European and International Affairs
dk_en.pdf,Dan Jørgensen,Minister for Development Cooperation and Global Climate Policy
gr_en.pdf,Kyriakos Mitsotakis,Prime Minister
np_en.pdf,Pushpa Kamal Dahal 'Prachanda',Prime Minister
ee_en.pdf,Alar Karis,President
md_en.pdf,Maia Sandu,President
sl_en.pdf,Julius Maada Bio,President
mn_en.pdf,Khurelsukh Ukhnaa,President
lr_en.pdf,George Manneh Weah,President
sz_en.pdf,Mswati III,King
mh_en.pdf,David Kabua,President
bw_en.pdf,Mokgweetsi Eric Keabetswe Masisi,President
it_en.pdf,Giorgia Meloni,President of the Council of Ministers
