"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","982616126.731236","1140605386.32331","1353312877.28631","1517467571.39906","1577580557.97556","1703201274.47242","1803389601.97603","1935175782.10633","2093935693.11871","2147271243.93681","2172733339.65486","2325843142.0188","2372173575.71739","2401542077.15133","2584457669.54561","2692900552.02825","2667108731.32967","2697003796.23029","2893373340.18533","2882235963.0655","2915061916.68186","3005333289.12687","3060433996.98291","2702865573.66179","2629007178.02497","2717520017.24052","2689383485.56935","2862305919.79842","2861719742.05527","2963128491.62011","3025849510.13709","3191737811.44837","3359554754.77015","3380888928.20317","2752412130.16594","3225070339.87036","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","154094140901.181","154486894907.259","166793050899.817","175379919006.548","183411140278.294","193216684709.686","200821523806.308","211385833135.143","219863901687.137","231472501048.816","242312849016.132","255399579660.75","260928643219.717","272512986345.393","288572177250.336","293615760353.757","302007453560.828","305794352581.557","309067556231.71","317743777711.268","334894126160.468","349316489110.82","351133400483.878","351741963036.198","362367875493.657","360811042014.12","369068266548.477","384707227425.919","400145222571.283","411766608173.628","411690290331.345","412253933417.011","404092862765.397","402617848019.804","410608855881.778","428409715376.121","451758668847.477","471786390336.169","480478323802.148","493226747628.695","509768390123.83","528258933912.463","548869355557.182","565895053525.661","597063592565.541","633557044316.079","675107652566.227","719510062359.839","750538853401.917","755522138324.154","794497077332.204","823948339810.673","830910831940.641","865971937397.702","900564761772.048","927348469903.115","947977562978.45","972122298137.607","996561292950.383","1017367154946.31","987978667562.717","1030806818519.36","1065904260738.87",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7555180544.12914","8222475079.03283","8338750577.57495","9275168487.29149","9772076665.38981","11123195211.6198","11559778824.1227","14032476595.6769","16047882833.4198","16116303749.6957","18171501071.9466","19189240447.5269","19712059624.7321","19998143635.873","20450164516.4719","20991481026.0286","21241117622.9537","22071985906.2168","21553051296.9328","17091569679.7671","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","105861857594.203","107825459215.378","111893547054.732","120037843917.7","126532866097.088","131697515621.24","129353386243.005","116993221057.965","118697940164.903","137142479572.825","161712739510.277","179188189685.349","184848487983.426","192653537014.157","212389365301.876","207760541669.162","225537006262.72","236232405183.711","231050589455.325","243101599259.486","248068773127.787","230768019536.414","222973031331.318","208339409163.64","209509179814.556","221147958488.925","224256782645.646","227525592557.451","238601031275.593","244029854392.646","260085494445.151","262973101400.867","270052855005.898","266807458419.068","266073753671.901","271207724720.84","283787465108.45","295863207222.129","306170769434.833","310519203120.343","322109914196.608","338876250143.08","372495555083.351","393115666808.943","424564056520.641","449306710837.614","473457090725.627","499625655929.318","531003702084.301","564374461553.772","603717001085.029","633014578637.92","665536119547.008","706198649563.192","748072435190.072","768644740597.116","769608890371.134","787411626747.318","809562635619.587","835569083587.038","827816677402.033","860770803765.784","893159530270.021",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","22228078982.8967","21250043236.7666","21250043236.7666","22142545356.2757","23471098557.0584","24292586886.8731","24997072329.8831","26017639959.2481","27612232617.22","27623725232.0812","26670679451.1005","26935081712.7575","25362536026.6684","19279733137.5002","19537958833.7948","22468652664.5033","25511890060.3733","27367695701.7665","28651554387.3827","29276585100.5066","30170874763.9644","31439861320.9282","35736334915.891","36804851329.8762","40834982550.4976","46972480427.8374","52397801917.2526","59738733965.8597","66411550549.8462","66982689884.5751","69928840398.9615","72356806903.3803","78537602825.7269","82428837129.6654","86404016655.5033","87219300384.5072","84968945427.6388","84843913772.756","83727060996.4296","83139068488.845","78451509293.6061","79392308047.2925","81810123785.9154",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4650626391.20178","4917834422.44681","5062841530.91488","5118782804.13187","5054716290.33873","5144722790.61983","5434743325.18787","5391926099.08622","5315358610.27511","5838206463.00545","5279160819.73021","3800882728.74606","3527709071.28199","3864937304.45251","4185837892.89876","4743489169.29609","5175146656.97074","4610021466.00919","5017059796.59625","5663799123.51581","6057218877.99608","6559562976.30498","6857139135.53887","7236245498.80782","7635300407.29025","8057259500.32656","8532852056.27005","9043394739.1311","9721653091.2626","10047745465.5346","10420209175.6679","10685445820.2952","10836884531.8214","10945472015.6969","11139693818.2915","11386853143.152","11764325125.3449","12211675202.0003","12702504633.9887","12967696347.088","12539492375.1873","13656576541.706","14318133324.6211",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859121720.857035","899066287.678298","972337883.909453","1048068101.10322","1106956843.92017","1112958826.57405","1149728616.1139","1182364531.71192","1199662526.92628","1200161073.02444","1226669362.0241","1225044337.787","1240314039.04677","1262269065.03816","1284796613.03337","1314622306.02386","1357391199.78172","1432687347.96931","1505673114.94594","1578352471.90325","1638036096.3346","1679740553.06772","1695348938.12452","1677861678.47175","1717848180.14263","1765217871.42347","1847295889.3575","2014802622.42419","2079171403.48522","2164398280.23315","2240766094.49987","2422701909.41887","2532846713.57798","2753057566.67362","2977037419.70729","3137731826.02032","3288615581.7484","3339693968.96825","3154034157.09556","2986780565.81575","2927792904.09907","2927556638.43132","2781926981.12431","2683235436.47838","2750436142.83613","2789881258.60547","2893376871.82913","2903390035.8436","2949518094.78664","3008967037.09274","2672445970.98414","2893916907.64115","3148858813.89707",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","570840746453.665","660678583534.803","714313085859.506","710073181210.988","788152837220.729","859480131702.588","888479304523.499","814888271801.227","764300353587.636","774446404103.997","758852984311.117","792874909690.049","792223928672.592","838298309342.072","856690462237.92","959957801097.175","983329779790.573","1033981011711.54","1066443408958.99","1101835605612.42","1134980328075.04","1188738013421.54","1244822796090.23","1308634959103.7","1332902910498.89","1420435755632.37","1445219558471.05","1455547219986.54","1526811138793.5","1661630836240.12","1753108377239.22","1860091858197.55","1944880421052.44","2052790050104.81","2060772767256.91","2158223732862.66","2234033214642.24","2348908619058.5","2410422062277.18","2469003221398.61","2554156134622.59","2648371936908.48","2680647317495.79","2746264060308","2784099427710.71","2642873335981.74","2737055033985","2900258648311.05",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","55440304006.6159","64602843496.2877","78453260412.7937","77206164780.6896","93360453088.538","115650051118.847","121038391324.121","112905439104.959","107547149404.529","111867265998.701","107846223391.756","91714438017.1258","94816203535.3852","92333054676.5152","103725006580.093","122735710780.861","123791338470.309","127932090485.876","129545558435.146","138479212585.442","147740545098.885","156307138866.117","169109316643.235","169603106290.934","174525350783.453","193466070879.981","196172825716.423","200946606703.898","218630994842.96","239546190433.807","251176496209.748","275885531337.736","284670803088.239","293757029048.686","278355577420.292","282817199927.453","302412213931.348","316857313565.968","332876224084.284","346742821790.424","370275469571.137","390868305597.139","393741456224.296","398914879874.988","403336245504.457","383342656333.374","398355489739.554","427878026194.377",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514630046744.607","568142562825.363","597930530213.47",
