,accuracy,model,bot_type,type
0,0.8028169014084507,xlm-roberta-base-finetuned,human,raw
1,0.9029126213592233,xlm-roberta-base-finetuned,rnn,raw
2,0.8305785123966942,xlm-roberta-base-finetuned,others,raw
3,0.515625,xlm-roberta-base-finetuned,gpt2,raw
4,0.781078967943706,xlm-roberta-base-finetuned,all,raw
5,0.8129890453834115,xlm-roberta-base-full-training,human,raw
6,0.9854368932038835,xlm-roberta-base-full-training,rnn,raw
7,0.9607438016528925,xlm-roberta-base-full-training,others,raw
8,0.8307291666666666,xlm-roberta-base-full-training,gpt2,raw
9,0.8713838936669273,xlm-roberta-base-full-training,all,raw
10,0.8959311424100157,xlm-roberta-base-full-training-2,human,raw
11,0.9830097087378641,xlm-roberta-base-full-training-2,rnn,raw
12,0.9152892561983471,xlm-roberta-base-full-training-2,others,raw
13,0.6953125,xlm-roberta-base-full-training-2,gpt2,raw
14,0.8835027365129007,xlm-roberta-base-full-training-2,all,raw
15,0.8794992175273866,distilbert-base-uncased-full-training,human,raw
16,0.9878640776699029,distilbert-base-uncased-full-training,rnn,raw
17,0.9111570247933884,distilbert-base-uncased-full-training,others,raw
18,0.6588541666666666,distilbert-base-uncased-full-training,gpt2,raw
19,0.8698201720093823,distilbert-base-uncased-full-training,all,raw
20,0.8724569640062598,distilbert-base-uncased-full-training-gpt2-data-with-twitter,human,raw
21,0.970873786407767,distilbert-base-uncased-full-training-gpt2-data-with-twitter,rnn,raw
22,0.8471074380165289,distilbert-base-uncased-full-training-gpt2-data-with-twitter,others,raw
23,0.6848958333333334,distilbert-base-uncased-full-training-gpt2-data-with-twitter,gpt2,raw
24,0.8553557466770915,distilbert-base-uncased-full-training-gpt2-data-with-twitter,all,raw
25,0.8560250391236307,gpt2-full-training,human,raw
26,0.9781553398058253,gpt2-full-training,rnn,raw
27,0.9586776859504132,gpt2-full-training,others,raw
28,0.6692708333333334,gpt2-full-training,gpt2,raw
29,0.8670836591086787,gpt2-full-training,all,raw
